ticker,year,roe,lucro_liquido,margem_liquida,receita_liquida,divida_liquida,ebitda,divida_ebitda,market_cap,p_l,cagr_lucro
AHEB5,2021,105.5253,-7.4618E+7,-42.9471,1.73744E+8,-2.29E+7,,,,,
AHEB5,2022,-1138.6807,6.4734E+7,21.4142,3.02295E+8,-3.714E+7,,,,,
AHEB5,2023,106.6884,8.5929E+7,14.098,6.09511E+8,-5.0352E+7,,,,,
AHEB5,2024,61.4677,1.50235E+8,20.6832,7.26361E+8,-8.2375E+7,,,,,
AHEB6,2019,-156.3729,-4.256E+7,-37.0609,1.14838E+8,-2.723E+7,,,,,
AHEB6,2020,-662.4862,-2.3929E+7,-11.2043,2.13569E+8,-5.0888E+7,,,,,
AHEB6,2021,105.5253,-7.4618E+7,-42.9471,1.73744E+8,-2.29E+7,,,,,
AHEB6,2022,-1138.6807,6.4734E+7,21.4142,3.02295E+8,-3.714E+7,,,,,
AHEB6,2023,106.6884,8.5929E+7,14.098,6.09511E+8,-5.0352E+7,,,,,
AHEB6,2024,61.4677,1.50235E+8,20.6832,7.26361E+8,-8.2375E+7,,,,,
ALLD3,2019,10.3729,1.0063E+8,2.7115,3.711271E+9,1.865541E+9,,,,,
ALLD3,2020,14.8281,1.67645E+8,3.55,4.722413E+9,1.602866E+9,,,,,
ALLD3,2021,19.0665,2.88231E+8,5.0227,5.738533E+9,1.04057E+9,,,,,
ALLD3,2022,5.0767,7.6146E+7,1.485,5.127781E+9,2.426884E+9,,,,,
ALLD3,2023,7.6567,1.22444E+8,2.0913,5.854915E+9,1.69394E+9,,,,,
ALLD3,2024,9.1588,1.45532E+8,2.6358,5.521381E+9,1.771155E+9,,,,,7.658
ALOS3,2019,0.7535,5.6632E+7,7.6202,7.43186E+8,3.742765E+9,,,,,
ALOS3,2020,2.6581,2.02473E+8,25.3858,7.97585E+8,3.553681E+9,,,,,
ALOS3,2021,4.0769,3.18405E+8,33.9568,9.37677E+8,3.637835E+9,,,,,
ALOS3,2022,2.8201,2.22144E+8,19.9892,1.111321E+9,5.769842E+9,,,,,
ALOS3,2023,23.1312,3.49391E+9,128.8185,2.712274E+9,8.723824E+9,,,,,
ALOS3,2024,5.7446,8.11978E+8,29.6359,2.739848E+9,9.797878E+9,,,,,70.3321
ALPA3,2019,9.4835,2.59335E+8,6.986,3.712184E+9,1.004923E+9,,,,,
ALPA3,2020,4.2035,1.26886E+8,3.7716,3.364278E+9,4.61179E+8,,,,,
ALPA3,2021,19.9746,6.92563E+8,17.5396,3.948561E+9,8.0898E+7,,,,,
ALPA3,2022,1.8843,1.08531E+8,2.5953,4.181866E+9,4.5161E+9,,,,,
ALPA3,2023,-50.1006,-1.867484E+9,-50.011,3.734146E+9,5.140078E+9,,,,,
ALPA3,2024,2.6607,1.07397E+8,2.6141,4.108311E+9,1.464322E+9,,,,,-16.1648
ALPA4,2019,9.4835,2.59335E+8,6.986,3.712184E+9,1.004923E+9,,,,,
ALPA4,2020,4.2035,1.26886E+8,3.7716,3.364278E+9,4.61179E+8,,,,,
ALPA4,2021,19.9746,6.92563E+8,17.5396,3.948561E+9,8.0898E+7,,,,,
ALPA4,2022,1.8843,1.08531E+8,2.5953,4.181866E+9,4.5161E+9,,,,,
ALPA4,2023,-50.1006,-1.867484E+9,-50.011,3.734146E+9,5.140078E+9,,,,,
ALPA4,2024,2.6607,1.07397E+8,2.6141,4.108311E+9,1.464322E+9,,,,,-16.1648
ALPK3,2019,-7.3356,-4.2628E+7,-3.9445,1.080684E+9,4.993036E+9,,,,,
ALPK3,2020,-24.843,-1.70669E+8,-26.2824,6.49365E+8,4.208193E+9,,,,,
ALPK3,2021,-39.8844,-2.2417E+8,-26.8489,8.34931E+8,3.896182E+9,,,,,
ALPK3,2022,-37.0312,-1.57686E+8,-14.1682,1.112959E+9,3.982025E+9,,,,,
ALPK3,2023,-18.1898,-6.808E+7,-5.0194,1.356341E+9,4.314488E+9,,,,,
ALPK3,2024,-2.4024,-8.719E+6,-0.5502,1.584808E+9,4.600962E+9,,,,,
ALUP11,2019,21.769,1.641397E+9,35.7439,4.592099E+9,1.8040735E+10,,,,,
ALUP11,2020,22.9802,2.055505E+9,33.4732,6.140745E+9,1.9021999E+10,,,,,
ALUP11,2021,21.2245,2.122816E+9,40.5566,5.234208E+9,2.1186421E+10,,,,,
ALUP11,2022,16.0426,1.663873E+9,43.4011,3.833708E+9,2.3892018E+10,,,,,
ALUP11,2023,10.8289,1.150986E+9,34.7585,3.311381E+9,2.4195786E+10,,,,,
ALUP11,2024,15.8648,1.859906E+9,46.4732,4.002104E+9,2.6384262E+10,,,,,2.5311
ALUP3,2019,21.769,1.641397E+9,35.7439,4.592099E+9,1.8040735E+10,,,,,
ALUP3,2020,22.9802,2.055505E+9,33.4732,6.140745E+9,1.9021999E+10,,,,,
ALUP3,2021,21.2245,2.122816E+9,40.5566,5.234208E+9,2.1186421E+10,,,,,
ALUP3,2022,16.0426,1.663873E+9,43.4011,3.833708E+9,2.3892018E+10,,,,,
ALUP3,2023,10.8289,1.150986E+9,34.7585,3.311381E+9,2.4195786E+10,,,,,
ALUP3,2024,15.8648,1.859906E+9,46.4732,4.002104E+9,2.6384262E+10,,,,,2.5311
ALUP4,2019,21.769,1.641397E+9,35.7439,4.592099E+9,1.8040735E+10,,,,,
ALUP4,2020,22.9802,2.055505E+9,33.4732,6.140745E+9,1.9021999E+10,,,,,
ALUP4,2021,21.2245,2.122816E+9,40.5566,5.234208E+9,2.1186421E+10,,,,,
ALUP4,2022,16.0426,1.663873E+9,43.4011,3.833708E+9,2.3892018E+10,,,,,
ALUP4,2023,10.8289,1.150986E+9,34.7585,3.311381E+9,2.4195786E+10,,,,,
